id;power;cordinates;antenna_Location_WGS84_E;antenna_Location_WGS84_N;building;streetNumber;street;town;district;state;country;postal;type
4297;Klein;POINT (2556797 1216704);47.09992083732055;6.86952724506655;;;Les Reprises;;; 6421; Schweiz; 6421;5G
4298;Gross;POINT (2659032 1220396);47.13191670818545;8.216714189613215;;;Neuhüsli;Hildisrieden;; 6024; Schweiz; 6024;5G
4299;Mittel;POINT (2554220 1147042);46.47313164434874;6.842569738770213;;;Chemin de la Cure d'Attalens;Corsier-sur-Vevey;; 1804; Schweiz; 1804;5G
4300;Mittel;POINT (2609717 1264921);47.53494754605568;7.567669190344694;Sport- und Schwimmhalle Spiegelfeld; 21; Wassergrabenstrasse;Binningen 1;; 4102; Schweiz; 4102;5G
4301;Mittel;POINT (2686235 1230158);47.21672960324682;8.577093959859049;Auto Iten; 7; Zugerstrasse;Sihlbrugg;; 6340; Schweiz; 6340;5G
4302;Sehr Klein;POINT (2665941 1211298);47.04943383781126;8.306447020006512;Mövenpick Restaurant; 14; Pilatusstrasse;Luzern Hirschengr;; 6003; Schweiz; 6003;5G
4303;Mittel;POINT (2562033 1127917);46.30158335707728;6.945862783706854;;39; Route de l'Industrie;Aigle Distribution;; 1860; Schweiz; 1860;5G
4305;Mittel;POINT (2603505 1199728);46.94862721001211;7.484672463097264;;75; Obere Zollgasse;Ostermundigen Ober;; 3072; Schweiz; 3072;5G
4306;Klein;POINT (2636054 1246750);47.37060460919091;7.915967711582235;;189; Winznauerstrasse;Trimbach;; 4632; Schweiz; 4632;5G
4307;Mittel;POINT (2618877 1177669);46.74994298796777;7.685681380400707;;330; Stapfebode;Heiligenschwendi;; 3625; Schweiz; 3625;5G
4308;Mittel;POINT (2634299 1222305);47.15083012765896;7.8908697644252115;;1; Grossrugenstall;Fischbach LU;; 6145; Schweiz; 6145;5G
4309;Mittel;POINT (2702844 1113694);46.16687029712155;8.770232666902965;;1; Via dei Pioppi;Losone Caserma;; 6616; Schweiz; 6616;5G
4310;Sehr Klein;POINT (2642672 1246118);47.364525437414095;8.003524822521612;;3; Obstgartenweg;Gretzenbach;; 5014; Schweiz; 5014;5G
4314;Mittel;POINT (2588820 1242675);47.33483986465248;7.290706268406611;;;Courfaivre;Courfaivre;; 2853; Schweiz; 2853;5G
4315;Mittel;POINT (2596836 1226876);47.19282324710838;7.396877427629444;;8; Bettlachstrasse;Grenchen Schmelzi;; 2540; Schweiz; 2540;5G
4316;Mittel;POINT (2600859 1201140);46.961336795807114;7.449918322213631;;15; Standstrasse;Bern;; 3014; Schweiz; 3014;5G
4317;Mittel;POINT (2688447 1250057);47.395397594743166;8.610214372163467;;2; Amselweg;Dübendorf Wilstr;; 8600; Schweiz; 8600;5G
4318;Mittel;POINT (2591943 1115636);46.19213670165426;7.334283131980441;;;Route de Clèbes;Veysonnaz;; 1993; Schweiz; 1993;5G
4319;Mittel;POINT (2577372 1241127);47.32062166401909;7.139320709682609;;;Saint-Brais;St-Brais;; 2364; Schweiz; 2364;5G
4320;Mittel;POINT (2685245 1254939);47.43972460207279;8.568737186874273;Mövenpick Hotel Zürich Airport; 8; Walter Mittelholzerstrasse;Glattbrugg;; 8152; Schweiz; 8152;5G
4321;Mittel;POINT (2684764 1211133);47.04581045524609;8.554106532820654;Berufsbildungszentrum Goldau; 44; Zaystrasse;Goldau Zust;; 6410; Schweiz; 6410;5G
4322;Gross;POINT (2687600 1230252);47.2173954773436;8.59513025604633;;;Chalbisaustrasse;Horgen Bahnhofstr;; 8810; Schweiz; 8810;5G
4323;Gross;POINT (2720234 1199144);46.93250542405749;9.017601459924055;;14; Sälimad;Rüti GL;; 8782; Schweiz; 8782;5G
4324;Mittel;POINT (2540665 1154912);46.54285785528633;6.665076967126582;;;Université de Lausanne - Centre Laboratoire d'Épalinges;Epalinges;; 1066; Schweiz; 1066;5G
4325;Gross;POINT (2641938 1247180);47.37412419385336;7.9939077210041685;;19; Erlinsbacherstrasse;Niedergösgen;; 5013; Schweiz; 5013;5G
4326;Mittel;POINT (2609675 1123229);46.26042073910665;7.564122263991312;;;Relais des Pontis;Mission;; 3961; Schweiz; 3961;5G
4327;Mittel;POINT (2674117 1249701);47.39396425054834;8.420358588165087;;10; Steinackerstrasse;Zürich Postauto;; 8050; Schweiz; 8050;5G
4328;Mittel;POINT (2687800 1250051);47.39543020055358;8.601644142263973;;6; Stettbachstrasse;Dübendorf Wilstr;; 8600; Schweiz; 8600;5G
4329;Mittel;POINT (2557140 1144116);46.4470047868136;6.880859290308416;;;Chemin de la Maladaire;Clarens Collège;; 1815; Schweiz; 1815;5G
